1.000000 0.000000 2.500000
1.000000 -0.000000 2.500000
1.000000 0.000000 2.500000
0.999999 -0.000000 2.499997
1.000002 0.000027 2.500008
0.999669 -0.000040 2.498842
1.000313 0.003790 2.501090
0.979828 -0.001732 2.429385
0.991838 0.090142 2.473356
0.862779 0.102417 2.035344
0.662659 -0.110890 1.445019
0.052233 0.345523 -0.117875
0.405924 0.825874 1.073734
0.347035 0.461889 1.126927
0.188716 0.109300 0.505239
0.133436 0.010733 0.277320
0.125548 0.000572 0.251552
0.125021 0.000024 0.250060
0.125001 0.000001 0.250002
0.125000 0.000000 0.250000
0.125000 0.000000 0.250000
0.125000 -0.000000 0.250000
